,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__svm_gamma,param_clf__svm_nu,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.03,0.00,0.03,0.00,1e-09,0.1,"{'clf__svm_gamma': 1e-09, 'clf__svm_nu': 0.1}",0.22,0.21,0.20,0.36,0.17,0.23,0.07,88,0.22,0.19,0.20,0.36,0.18,0.23,0.07
1,0.04,0.01,0.05,0.00,1e-09,0.2,"{'clf__svm_gamma': 1e-09, 'clf__svm_nu': 0.2}",0.32,0.25,0.03,0.17,0.43,0.24,0.13,87,0.33,0.25,0.04,0.18,0.38,0.24,0.12
2,0.03,0.01,0.08,0.02,1e-09,0.3,"{'clf__svm_gamma': 1e-09, 'clf__svm_nu': 0.3}",0.33,0.35,0.34,0.36,0.30,0.34,0.02,72,0.35,0.39,0.37,0.35,0.33,0.36,0.02
3,0.04,0.01,0.10,0.02,1e-09,0.4,"{'clf__svm_gamma': 1e-09, 'clf__svm_nu': 0.4}",0.39,0.18,0.21,0.34,0.16,0.25,0.09,84,0.34,0.18,0.25,0.35,0.15,0.25,0.08
4,0.05,0.01,0.15,0.03,1e-09,0.5,"{'clf__svm_gamma': 1e-09, 'clf__svm_nu': 0.5}",0.25,0.27,0.20,0.23,0.21,0.23,0.03,89,0.23,0.25,0.24,0.24,0.21,0.23,0.01
5,0.04,0.00,0.12,0.00,1e-09,0.6,"{'clf__svm_gamma': 1e-09, 'clf__svm_nu': 0.6}",0.12,0.36,0.24,0.32,0.34,0.28,0.09,81,0.14,0.37,0.26,0.29,0.33,0.28,0.08
6,0.04,0.00,0.14,0.01,1e-09,0.7,"{'clf__svm_gamma': 1e-09, 'clf__svm_nu': 0.7}",0.31,0.24,0.22,0.33,0.32,0.28,0.04,78,0.32,0.24,0.20,0.34,0.30,0.28,0.05
7,0.04,0.00,0.15,0.00,1e-09,0.8,"{'clf__svm_gamma': 1e-09, 'clf__svm_nu': 0.8}",0.32,0.21,0.12,0.27,0.19,0.22,0.07,90,0.30,0.23,0.13,0.28,0.19,0.23,0.06
8,0.04,0.00,0.17,0.00,1e-09,0.9,"{'clf__svm_gamma': 1e-09, 'clf__svm_nu': 0.9}",0.38,0.34,0.26,0.27,0.24,0.30,0.05,75,0.38,0.38,0.27,0.31,0.29,0.33,0.05
9,0.05,0.00,0.19,0.00,1e-09,1.0,"{'clf__svm_gamma': 1e-09, 'clf__svm_nu': 1.0}",0.03,0.03,0.03,0.03,0.03,0.03,0.00,118,0.03,0.03,0.03,0.03,0.03,0.03,0.00
10,0.02,0.00,0.02,0.00,1e-08,0.1,"{'clf__svm_gamma': 1e-08, 'clf__svm_nu': 0.1}",0.26,0.33,0.28,0.35,0.27,0.30,0.04,76,0.28,0.30,0.32,0.36,0.31,0.31,0.03
11,0.02,0.00,0.04,0.00,1e-08,0.2,"{'clf__svm_gamma': 1e-08, 'clf__svm_nu': 0.2}",0.37,0.34,0.04,0.19,0.46,0.28,0.15,80,0.38,0.35,0.05,0.22,0.44,0.29,0.14
12,0.03,0.01,0.07,0.02,1e-08,0.3,"{'clf__svm_gamma': 1e-08, 'clf__svm_nu': 0.3}",0.53,0.46,0.47,0.48,0.40,0.47,0.04,57,0.51,0.48,0.53,0.48,0.41,0.48,0.04
