Klasa,Statystyka,P-wartość,occ_svm_maxPrzewaga,svcPrzewaga,occ_svm_maxMediana,svcMediana,occ_svm_maxOdch. ćw.,svcOdch. ćw.
1,4.000,< 0.001,0,1,0.693,0.752,0.024,0.020
2,0.000,< 0.001,0,1,0.792,0.894,0.019,0.011
3,6.000,< 0.001,0,1,0.488,0.653,0.093,0.062
4,23.000,< 0.001,0,1,0.694,0.867,0.071,0.035
5,0.000,< 0.001,0,1,0.444,0.742,0.077,0.061
6,0.000,< 0.001,0,1,0.735,0.897,0.037,0.014
7,0.000,< 0.001,0,1,0.686,0.905,0.032,0.016
8,79.000,0.005,0,1,0.909,0.930,0.026,0.016
9,0.000,< 0.001,0,1,0.581,0.800,0.084,0.058
10,0.000,< 0.001,0,1,0.554,0.724,0.029,0.032
